system;class;Bridge;Composite;ChainOfResponsibility;TemplateMethod;FactoryMethod;Prototype;cbo;wmc;dit;rfc;nom;loc;GC;RPB;FE;LM
jasperreports;net.sf.jasperreports.charts.JRCategorySeries;0;0;1;0;1;0;3;5;1;0;5;12;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRChartAxis;0;0;1;0;1;0;3;4;1;0;4;13;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRDataRange;0;0;1;0;0;0;2;2;1;0;2;8;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRGanttSeries;0;0;1;0;1;0;2;8;1;0;8;13;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRItemLabel;0;0;1;0;0;0;3;4;1;0;4;12;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRPieSeries;0;0;1;0;1;0;3;4;1;0;4;11;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRTimePeriodSeries;0;0;1;0;1;0;3;6;1;0;6;13;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRTimeSeries;0;0;1;0;1;0;3;5;1;0;5;12;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRValueDisplay;0;0;1;0;0;0;3;4;1;0;4;12;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRXySeries;0;0;1;0;1;0;3;5;1;0;5;12;0;0;0;0
jasperreports;net.sf.jasperreports.charts.JRXyzSeries;0;0;1;0;1;0;3;5;1;0;5;12;0;0;0;0
jasperreports;net.sf.jasperreports.components.spiderchart.ChartSettings;0;0;1;0;0;0;5;15;1;0;15;26;0;0;0;0
jasperreports;net.sf.jasperreports.components.spiderchart.SpiderPlot;0;0;1;0;0;0;4;15;1;0;15;25;0;0;0;0
jasperreports;net.sf.jasperreports.crosstabs.JRCellContents;0;0;1;0;0;0;5;6;1;0;6;35;0;0;0;0
jasperreports;net.sf.jasperreports.crosstabs.JRCrosstab;0;0;1;0;0;0;11;22;1;0;22;39;0;0;0;0
jasperreports;net.sf.jasperreports.crosstabs.JRCrosstabCell;0;0;1;0;1;0;2;5;1;0;5;10;0;0;0;0
jasperreports;net.sf.jasperreports.crosstabs.JRCrosstabGroup;0;0;1;0;0;0;5;8;1;0;8;15;0;0;0;0
jasperreports;net.sf.jasperreports.crosstabs.JRCrosstabMeasure;0;0;1;0;0;0;5;13;1;0;13;24;0;0;0;0
jasperreports;net.sf.jasperreports.crosstabs.JRCrosstabParameter;0;0;1;0;0;0;2;0;1;0;0;6;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRBand;0;0;1;0;0;0;3;8;1;0;8;18;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRChartPlot;0;0;1;0;0;0;5;24;1;0;24;38;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRConditionalStyle;0;0;1;0;1;0;2;1;1;0;1;5;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRDataset;0;0;1;0;0;0;11;16;1;0;16;25;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRDatasetParameter;0;0;1;0;0;0;2;2;1;0;2;6;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRElement;0;0;1;0;0;0;10;26;1;0;26;41;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRElementDataset;0;0;1;0;0;0;7;9;1;0;9;15;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRElementGroup;0;0;1;0;0;0;3;4;1;0;4;9;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRField;0;0;1;0;0;0;2;5;1;0;5;9;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRFrame;0;0;1;0;0;0;4;0;1;0;0;4;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRGroup;0;0;1;0;0;0;6;23;1;0;23;32;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRParameter;0;0;1;0;0;0;3;10;1;0;10;31;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRPrintElementContainer;0;0;1;0;0;0;1;4;1;0;4;9;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRPropertiesHolder;0;0;1;0;0;0;2;3;1;0;3;7;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRReportFont;0;0;1;0;1;0;1;2;1;0;2;6;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRReportTemplate;0;0;1;0;1;0;1;1;1;0;1;6;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRScriptlet;0;0;1;0;0;0;2;5;1;0;5;10;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRStyle;0;0;1;0;1;0;14;170;1;0;170;185;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRStyleContainer;0;0;1;0;0;0;2;3;1;0;3;7;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRSubreportReturnValue;0;0;1;0;0;0;2;5;1;0;5;10;0;0;0;0
jasperreports;net.sf.jasperreports.engine.JRVariable;0;0;1;0;0;0;6;16;1;0;16;44;0;0;0;0
jasperreports;net.sf.jasperreports.engine.export.ExporterFilter;0;0;1;0;1;0;1;1;1;0;1;6;0;0;0;0
jasperreports;net.sf.jasperreports.engine.fill.DatasetExpressionEvaluator;0;0;1;0;0;0;2;4;1;0;4;13;0;0;0;0
jasperreports;net.sf.jasperreports.engine.fill.JRBaseFiller;0;0;1;1;1;0;-1;-1;-1;-1;-1;-1;1;0;1;0
